# ./cyclops -w STRIDED_ARRAY -m TASK_CLOCK_NS -u 5 -r 3 -s array-size-kib=10:2800:20 -p repeats=100
array-size-kib,CPU_CYCLES:MIN,CPU_CYCLES:MAX,CPU_CYCLES:MEDIAN,INSTRUCTIONS:MIN,INSTRUCTIONS:MAX,INSTRUCTIONS:MEDIAN,TASK_CLOCK_NS:MIN,TASK_CLOCK_NS:MAX,TASK_CLOCK_NS:MEDIAN,
10,96144.000000,96480.000000,96316.00000010,80659.000000,80659.000000,80659.00000010,39395.000000,40595.000000,39557.000000
30,290428.000000,290653.000000,290435.00000030,240659.000000,240659.000000,240659.00000030,117375.000000,117703.000000,117452.000000
50,1040250.000000,1042420.000000,1041308.00000050,400659.000000,400660.000000,400660.00000050,418010.000000,426785.000000,423055.000000
70,1456299.000000,1457495.000000,1456345.00000070,560659.000000,560660.000000,560659.00000070,584848.000000,589239.000000,585030.000000
90,1872358.000000,1874165.000000,1873350.00000090,720659.000000,720660.000000,720660.00000090,751615.000000,756053.000000,754749.000000
110,2289699.000000,2293562.000000,2290110.000000110,880660.000000,880660.000000,880660.000000110,921432.000000,927573.000000,921749.000000
130,2706939.000000,2707624.000000,2706979.000000130,1040660.000000,1040660.000000,1040660.000000130,1088806.000000,1089307.000000,1088873.000000
150,3124478.000000,3129201.000000,3126056.000000150,1200660.000000,1200661.000000,1200660.000000150,1256047.000000,1260804.000000,1256951.000000
170,3544843.000000,3549487.000000,3546593.000000170,1360660.000000,1360661.000000,1360661.000000170,1424955.000000,1429570.000000,1427903.000000
190,3967355.000000,3971892.000000,3968987.000000190,1520660.000000,1520661.000000,1520661.000000190,1594979.000000,1598947.000000,1597292.000000
210,4393799.000000,4399249.000000,4398389.000000210,1680660.000000,1680661.000000,1680661.000000210,1765900.000000,1769990.000000,1769460.000000
230,4840024.000000,4845654.000000,4842453.000000230,1840661.000000,1840661.000000,1840661.000000230,1946983.000000,1951604.000000,1948071.000000
250,5276506.000000,5278063.000000,5276509.000000250,2000661.000000,2000661.000000,2000661.000000250,2121955.000000,2122977.000000,2122178.000000
270,7263655.000000,7280462.000000,7277611.000000270,2160662.000000,2160662.000000,2160662.000000270,2921172.000000,2928575.000000,2926966.000000
290,10165949.000000,10201906.000000,10166094.000000290,2320663.000000,2320664.000000,2320663.000000290,4088048.000000,4110566.000000,4089932.000000
310,13066256.000000,13104512.000000,13086339.000000310,2480664.000000,2480664.000000,2480664.000000310,5253198.000000,5271277.000000,5260443.000000
330,15093225.000000,15121230.000000,15102391.000000330,2640665.000000,2640665.000000,2640665.000000330,6067585.000000,6079496.000000,6071282.000000
